step_arrived;step_collisions;step_duration;step_ended;step_halting;step_inserted;step_loaded;step_meanSpeed;step_meanSpeedRelative;step_meanTravelTime;step_meanWaitingTime;step_running;step_stopped;step_teleports;step_time;step_waiting
62;0;285464245;62;1;70;70;10.92;0.41;48.89;10.29;8;0;0;265.00;0
62;0;285464245;62;0;70;70;11.71;0.44;48.89;10.29;8;0;0;266.00;0
63;0;285464245;63;1;71;71;10.29;0.37;48.54;10.15;8;0;0;267.00;0
63;0;285464246;63;0;71;71;10.67;0.39;48.54;10.15;8;0;0;268.00;0
63;0;285464246;63;0;71;71;10.86;0.40;48.54;10.15;8;0;0;269.00;0
63;0;285464246;63;0;71;71;11.04;0.41;48.54;10.15;8;0;0;270.00;0
63;0;285464247;63;0;71;71;11.24;0.42;48.54;10.15;8;0;0;271.00;0
63;0;285464247;63;0;71;71;11.57;0.43;48.54;10.15;8;0;0;272.00;0
64;0;285464248;64;1;71;71;12.21;0.46;48.53;10.15;7;0;0;273.00;0
64;0;285464248;64;1;71;71;12.51;0.47;48.53;10.15;7;0;0;274.00;0
64;0;285464249;64;1;71;71;12.50;0.47;48.53;10.15;7;0;0;275.00;0
64;0;285464249;64;1;71;71;12.23;0.46;48.53;10.15;7;0;0;276.00;0
64;0;285464249;64;2;72;72;9.91;0.37;48.53;10.03;8;0;0;277.00;0
64;0;285464250;64;0;72;72;10.18;0.37;48.53;10.03;8;0;0;278.00;0
64;0;285464250;64;0;72;72;10.29;0.37;48.53;10.03;8;0;0;279.00;0
64;0;285464251;64;1;72;72;10.67;0.38;48.53;10.03;8;0;0;280.00;0
64;0;285464251;64;1;72;72;11.26;0.41;48.53;10.03;8;0;0;281.00;0
64;0;285464251;64;1;72;72;12.00;0.43;48.53;10.03;8;0;0;282.00;0
64;0;285464252;64;1;72;72;12.14;0.44;48.53;10.03;8;0;0;283.00;0
64;0;285464252;64;1;72;72;12.08;0.43;48.53;10.03;8;0;0;284.00;0
64;0;285464252;64;2;72;72;12.75;0.46;48.53;10.03;8;0;0;285.00;0
65;0;285464253;65;2;72;72;11.51;0.41;48.40;10.03;7;0;0;286.00;0
65;0;285464253;65;2;72;72;11.86;0.43;48.40;10.03;7;0;0;287.00;0
65;0;285464253;65;2;72;72;12.00;0.43;48.40;10.03;7;0;0;288.00;0
65;0;285464254;65;2;72;72;12.29;0.44;48.40;10.03;7;0;0;289.00;0
65;0;285464254;65;2;72;72;12.64;0.45;48.40;10.03;7;0;0;290.00;0
65;0;285464254;65;2;72;72;12.90;0.46;48.40;10.03;7;0;0;291.00;0
65;0;285464254;65;2;72;72;12.38;0.45;48.40;10.03;7;0;0;292.00;0
65;0;285464255;65;3;72;72;12.07;0.43;48.40;10.03;7;0;0;293.00;0
65;0;285464255;65;3;72;72;12.20;0.44;48.40;10.03;7;0;0;294.00;0
66;0;285464255;66;3;72;72;10.44;0.38;48.42;10.03;6;0;0;295.00;0
66;0;285464255;66;3;72;72;10.54;0.38;48.42;10.03;6;0;0;296.00;0
66;0;285464256;66;3;72;72;10.52;0.38;48.42;10.03;6;0;0;297.00;0
66;0;285464256;66;3;72;72;10.46;0.38;48.42;10.03;6;0;0;298.00;0
66;0;285464256;66;3;72;72;10.84;0.39;48.42;10.03;6;0;0;299.00;0
66;0;285464256;66;4;73;73;9.53;0.34;48.42;9.89;7;0;0;300.00;0
66;0;285464257;66;1;73;73;10.10;0.37;48.42;9.89;7;0;0;301.00;0
66;0;285464257;66;0;73;73;10.60;0.39;48.42;9.89;7;0;0;302.00;0
66;0;285464257;66;0;73;73;11.37;0.42;48.42;9.89;7;0;0;303.00;0
66;0;285464257;66;0;73;73;12.08;0.45;48.42;9.89;7;0;0;304.00;0
