step_arrived;step_collisions;step_duration;step_ended;step_halting;step_inserted;step_loaded;step_meanSpeed;step_meanSpeedRelative;step_meanTravelTime;step_meanWaitingTime;step_running;step_stopped;step_teleports;step_time;step_waiting
54;0;285378758;54;3;62;62;9.32;0.37;49.52;11.55;8;0;0;228.00;0
54;0;285378758;54;3;62;62;9.66;0.36;49.52;11.55;8;0;0;229.00;0
54;0;285378759;54;3;62;62;10.06;0.37;49.52;11.55;8;0;0;230.00;0
54;0;285378759;54;3;62;62;10.15;0.37;49.52;11.55;8;0;0;231.00;0
54;0;285378760;54;3;62;62;9.75;0.36;49.52;11.55;8;0;0;232.00;0
54;0;285378760;54;3;62;62;9.38;0.34;49.52;11.55;8;0;0;233.00;0
55;0;285378760;55;3;62;62;8.20;0.30;49.13;11.55;7;0;0;234.00;0
55;0;285378761;55;3;62;62;7.79;0.29;49.13;11.55;7;0;0;235.00;0
56;0;285378761;56;3;62;62;5.79;0.22;48.73;11.55;6;0;0;236.00;0
57;0;285378761;57;3;62;62;1.52;0.07;48.70;11.55;5;0;0;237.00;0
57;0;285378762;57;3;62;62;1.63;0.07;48.70;11.55;5;0;0;238.00;0
57;0;285378762;57;4;62;62;1.75;0.08;48.70;11.55;5;0;0;239.00;0
57;0;285378765;57;7;65;65;1.18;0.05;48.70;11.02;8;0;0;240.00;0
57;0;285378765;57;4;65;65;1.51;0.07;48.70;11.02;8;0;0;241.00;0
57;0;285378766;57;4;65;65;1.91;0.08;48.70;11.02;8;0;0;242.00;0
57;0;285378766;57;4;65;65;2.24;0.10;48.70;11.02;8;0;0;243.00;0
57;0;285378766;57;4;65;65;2.35;0.10;48.70;11.02;8;0;0;244.00;0
57;0;285378767;57;1;66;66;2.39;0.10;48.70;10.86;9;0;0;245.00;0
57;0;285378768;57;1;67;67;2.73;0.10;48.70;10.72;10;0;0;246.00;0
57;0;285378769;57;1;67;67;3.44;0.13;48.70;10.72;10;0;0;247.00;0
57;0;285378769;57;1;67;67;4.50;0.17;48.70;10.72;10;0;0;248.00;0
57;0;285378769;57;1;67;67;5.54;0.21;48.70;10.72;10;0;0;249.00;0
57;0;285378770;57;1;67;67;6.57;0.24;48.70;10.72;10;0;0;250.00;0
57;0;285378771;57;1;67;67;7.74;0.29;48.70;10.72;10;0;0;251.00;0
57;0;285378771;57;1;67;67;8.97;0.33;48.70;10.72;10;0;0;252.00;0
57;0;285378772;57;1;67;67;10.03;0.37;48.70;10.72;10;0;0;253.00;0
57;0;285378772;57;1;67;67;10.76;0.40;48.70;10.72;10;0;0;254.00;0
57;0;285378776;57;1;67;67;11.23;0.42;48.70;10.72;10;0;0;255.00;0
57;0;285378776;57;2;67;67;11.42;0.42;48.70;10.72;10;0;0;256.00;0
57;0;285378777;57;2;67;67;11.46;0.42;48.70;10.72;10;0;0;257.00;0
57;0;285378777;57;3;68;68;10.26;0.37;48.70;10.57;11;0;0;258.00;0
57;0;285378778;57;2;68;68;10.61;0.38;48.70;10.57;11;0;0;259.00;0
57;0;285378778;57;1;68;68;11.43;0.41;48.70;10.57;11;0;0;260.00;0
57;0;285378779;57;0;68;68;12.24;0.44;48.70;10.57;11;0;0;261.00;0
57;0;285378779;57;0;68;68;12.96;0.47;48.70;10.57;11;0;0;262.00;0
57;0;285378779;57;0;68;68;13.48;0.49;48.70;10.57;11;0;0;263.00;0
57;0;285378780;57;1;69;69;12.91;0.47;48.70;10.43;12;0;0;264.00;0
57;0;285378780;57;1;70;70;12.45;0.45;48.70;10.30;13;0;0;265.00;0
58;0;285378781;58;0;70;70;12.14;0.44;49.28;10.30;12;0;0;266.00;0
58;0;285378781;58;1;71;71;11.72;0.43;49.28;10.17;13;0;0;267.00;0
58;0;285378782;58;0;71;71;12.24;0.45;49.28;10.17;13;0;0;268.00;0
58;0;285378783;58;0;71;71;12.60;0.46;49.28;10.17;13;0;0;269.00;0
58;0;285378785;58;0;71;71;12.86;0.48;49.28;10.17;13;0;0;270.00;0
58;0;285378786;58;0;71;71;13.21;0.49;49.28;10.17;13;0;0;271.00;0
58;0;285378786;58;0;71;71;13.51;0.50;49.28;10.17;13;0;0;272.00;0
59;0;285378786;59;0;71;71;14.13;0.53;49.00;10.17;12;0;0;273.00;0
60;0;285378787;60;1;71;71;13.18;0.50;49.22;10.17;11;0;0;274.00;0
61;0;285378789;61;1;71;71;12.26;0.47;50.23;10.17;10;0;0;275.00;0
61;0;285378789;61;1;71;71;12.47;0.48;50.23;10.17;10;0;0;276.00;0
62;0;285378790;62;2;72;72;10.39;0.40;51.32;10.04;10;0;0;277.00;0
62;0;285378791;62;1;72;72;10.72;0.40;51.32;10.04;10;0;0;278.00;0
